"child_id","school_type","day","time","critical_event","days_since_event","parent_inv_1","parent_inv_2","parent_inv_3","parent_overload_1","parent_overload_2","parent_overload_3","child_selfefficacy_1","child_selfefficacy_2","child_selfefficacy_3","child_selfesteem_1","child_selfesteem_2","child_selfesteem_3"
1,"Gymnasium",1,0,0,0,3,5,5,4,4,4,6,4,5,5,6,6
1,"Gymnasium",2,1,0,0,3,5,5,4,4,4,7,6,4,5,2,7
1,"Gymnasium",3,2,0,0,3,5,5,4,4,4,5,7,4,7,5,6
1,"Gymnasium",4,3,0,0,3,5,5,4,4,4,6,6,6,2,4,3
1,"Gymnasium",5,4,0,0,3,5,5,4,4,4,6,4,6,6,4,7
1,"Gymnasium",6,5,0,0,3,5,5,4,4,4,6,6,5,2,4,7
1,"Gymnasium",7,6,0,0,3,5,5,4,4,4,6,6,5,6,5,5
1,"Gymnasium",8,7,0,0,3,5,5,4,4,4,3,6,5,6,6,4
1,"Gymnasium",9,8,0,0,3,5,5,4,4,4,4,4,7,5,3,6
1,"Gymnasium",11,10,1,0,3,5,5,4,4,4,4,3,6,3,5,6
1,"Gymnasium",12,11,1,1,3,5,5,4,4,4,7,4,4,5,4,4
1,"Gymnasium",13,12,1,2,3,5,5,4,4,4,5,4,4,2,5,7
1,"Gymnasium",14,13,1,3,3,5,5,4,4,4,4,2,6,2,5,5
1,"Gymnasium",15,14,1,4,3,5,5,4,4,4,2,4,3,3,2,2
1,"Gymnasium",16,15,1,5,3,5,5,4,4,4,3,4,2,5,4,4
1,"Gymnasium",17,16,1,6,3,5,5,4,4,4,3,1,6,3,4,5
1,"Gymnasium",18,17,1,7,3,5,5,4,4,4,4,3,3,2,5,3
1,"Gymnasium",19,18,1,8,3,5,5,4,4,4,4,4,1,3,5,2
1,"Gymnasium",20,19,1,9,3,5,5,4,4,4,3,1,1,4,4,2
1,"Gymnasium",21,20,1,10,3,5,5,4,4,4,3,3,4,6,5,1
2,"Gymnasium",1,0,0,0,4,6,6,3,6,6,2,3,4,4,3,5
2,"Gymnasium",2,1,0,0,4,6,6,3,6,6,4,2,2,3,2,7
2,"Gymnasium",3,2,0,0,4,6,6,3,6,6,4,3,4,4,2,5
2,"Gymnasium",5,4,0,0,4,6,6,3,6,6,6,3,2,3,2,2
2,"Gymnasium",6,5,0,0,4,6,6,3,6,6,4,3,4,3,2,5
2,"Gymnasium",7,6,0,0,4,6,6,3,6,6,4,1,4,3,4,3
2,"Gymnasium",8,7,0,0,4,6,6,3,6,6,4,6,2,5,2,5
2,"Gymnasium",9,8,0,0,4,6,6,3,6,6,5,3,5,4,3,2
2,"Gymnasium",10,9,0,0,4,6,6,3,6,6,6,4,4,2,2,5
2,"Gymnasium",11,10,1,0,4,6,6,3,6,6,4,6,4,2,4,5
2,"Gymnasium",12,11,1,1,4,6,6,3,6,6,4,3,4,2,7,4
2,"Gymnasium",14,13,1,3,4,6,6,3,6,6,1,3,6,6,3,2
2,"Gymnasium",15,14,1,4,4,6,6,3,6,6,3,2,2,3,5,7
2,"Gymnasium",16,15,1,5,4,6,6,3,6,6,6,3,5,4,1,3
2,"Gymnasium",18,17,1,7,4,6,6,3,6,6,4,3,5,5,6,3
2,"Gymnasium",19,18,1,8,4,6,6,3,6,6,6,7,2,6,3,6
2,"Gymnasium",20,19,1,9,4,6,6,3,6,6,4,6,5,4,3,6
2,"Gymnasium",21,20,1,10,4,6,6,3,6,6,7,6,7,6,2,3
3,"Gymnasium",1,0,0,0,5,3,7,2,4,6,1,1,1,1,2,2
3,"Gymnasium",2,1,0,0,5,3,7,2,4,6,1,1,1,1,3,1
3,"Gymnasium",3,2,0,0,5,3,7,2,4,6,1,1,1,2,1,2
3,"Gymnasium",4,3,0,0,5,3,7,2,4,6,1,1,1,3,3,1
3,"Gymnasium",5,4,0,0,5,3,7,2,4,6,3,1,1,2,2,2
3,"Gymnasium",6,5,0,0,5,3,7,2,4,6,4,3,1,1,4,3
